0:0:0:0:0:0:0:1 - - [02/Nov/2018:16:28:27 +0900] "GET /ezenMall/view/control/shop_control.jsp?action=detail&pid=30002&cid=0 HTTP/1.1" 200 4843
0:0:0:0:0:0:0:1 - - [02/Nov/2018:16:28:31 +0900] "GET /ezenMall/view/control/shop_control.jsp?action=detail&pid=30008&cid=0 HTTP/1.1" 200 4843
0:0:0:0:0:0:0:1 - - [02/Nov/2018:16:28:43 +0900] "GET /ezenMall/view/control/shop_control.jsp?action=orderHis&cid=0 HTTP/1.1" 200 4091
0:0:0:0:0:0:0:1 - - [02/Nov/2018:16:28:45 +0900] "GET /ezenMall/view/control/shop_control.jsp?action=getall&code= HTTP/1.1" 200 7901
0:0:0:0:0:0:0:1 - - [02/Nov/2018:16:28:46 +0900] "GET /ezenMall/view/control/shop_control.jsp?action=cartList&cid= HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [02/Nov/2018:16:28:53 +0900] "POST /ezenMall/view/control/user_control.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2018:16:28:53 +0900] "GET /ezenMall/view/control/shop_control.jsp?action=getall HTTP/1.1" 200 7803
0:0:0:0:0:0:0:1 - - [02/Nov/2018:16:28:56 +0900] "GET /ezenMall/view/control/shop_control.jsp?action=cartList&cid=1 HTTP/1.1" 200 6444
0:0:0:0:0:0:0:1 - - [02/Nov/2018:16:28:57 +0900] "GET /ezenMall/view/control/shop_control.jsp?action=orderHis&cid=1 HTTP/1.1" 200 4606
0:0:0:0:0:0:0:1 - - [02/Nov/2018:16:28:58 +0900] "GET /ezenMall/view/control/shop_control.jsp?action=getall HTTP/1.1" 200 7803
0:0:0:0:0:0:0:1 - - [02/Nov/2018:16:28:59 +0900] "GET /ezenMall/view/control/shop_control.jsp?action=detail&pid=30002&cid=1 HTTP/1.1" 200 4735
