127.0.0.1 - - [05/Nov/2018:09:04:21 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:08:09 +0900] "GET /ezenMall/view HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:08:10 +0900] "GET /ezenMall/view/ HTTP/1.1" 200 9795
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:08:10 +0900] "GET /ezenMall/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:08:11 +0900] "GET /ezenMall/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:08:11 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:08:57 +0900] "GET /ezenMall/view/ HTTP/1.1" 200 9759
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:09:06 +0900] "GET /ezenMall/view/ HTTP/1.1" 200 9759
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:10:27 +0900] "GET /ezenMall/view/ HTTP/1.1" 200 9939
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:10:29 +0900] "GET /ezenMall/view/control/shop_control.jsp?action=detail&pid=30009&cid=0 HTTP/1.1" 200 4997
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:10:58 +0900] "GET /ezenMall/view/ HTTP/1.1" 200 9878
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:11:44 +0900] "GET /ezenMall/view/ HTTP/1.1" 200 9948
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:11:49 +0900] "GET /ezenMall/view/control/shop_control.jsp?action=detail&pid=30009&cid=0 HTTP/1.1" 200 4997
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:13:52 +0900] "GET /ezenMall/view/control/shop_control.jsp?action=detail&pid=30009&cid=0 HTTP/1.1" 200 4983
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:13:57 +0900] "GET /ezenMall/view/control/shop_control.jsp?action=getall&code= HTTP/1.1" 200 9948
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:14:37 +0900] "GET /ezenMall/view/control/shop_control.jsp?action=getall&code= HTTP/1.1" 200 9984
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:15:32 +0900] "GET /ezenMall/view/control/shop_control.jsp?action=getall&code= HTTP/1.1" 200 9984
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:16:14 +0900] "GET /ezenMall/view/control/shop_control.jsp?action=getall&code= HTTP/1.1" 200 10072
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:16:20 +0900] "GET /ezenMall/view/control/shop_control.jsp?action=detail&pid=30009&cid=0 HTTP/1.1" 200 4987
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:23:24 +0900] "GET /ezenMall/view/control/shop_control.jsp?action=getall&code= HTTP/1.1" 200 10072
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:23:43 +0900] "POST /ezenMall/view/control/user_control.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:23:43 +0900] "GET /ezenMall/view/control/shop_control.jsp?action=getall HTTP/1.1" 200 6071
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:23:44 +0900] "GET /ezenMall/view/control/admin_control.jsp?action=productinsert HTTP/1.1" 200 4983
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:24:05 +0900] "POST /ezenMall/view/control/admin_control.jsp?action=new HTTP/1.1" 200 6071
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:24:08 +0900] "POST /ezenMall/view/control/user_control.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:24:08 +0900] "GET /ezenMall/view/control/shop_control.jsp?action=getall HTTP/1.1" 200 10073
0:0:0:0:0:0:0:1 - - [05/Nov/2018:09:26:18 +0900] "GET /ezenMall/view/control/shop_control.jsp?action=getall HTTP/1.1" 200 10037
